

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.022  000.022: --- NVIM STARTING ---
000.926  000.904: locale set
001.963  001.037: inits 1
001.995  000.032: window checked
002.003  000.008: parsing arguments
002.240  000.237: expanding arguments
002.356  000.116: inits 2
003.294  000.938: init highlight
003.387  000.093: waiting for UI
004.999  001.612: done waiting for UI
005.027  000.028: initialized screen early for UI
015.955  010.495  010.495: sourcing /usr/share/nvim/runtime/filetype.vim
016.159  000.068  000.068: sourcing /usr/share/nvim/runtime/ftplugin.vim
016.327  000.056  000.056: sourcing /usr/share/nvim/runtime/indent.vim
381.080  001.055  001.055: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
411.847  038.088  037.033: sourcing /home/sroeca/.config/nvim/pack/packager/start/papercolor-theme/colors/PaperColor.vim
1266.296  1261.155  1212.447: sourcing /home/sroeca/.config/nvim/init.vim
1266.351  000.168: sourcing vimrc file(s)
1269.978  000.481  000.481: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
1272.599  000.496  000.496: sourcing /usr/share/nvim/runtime/syntax/syncolor.vim
1280.439  013.074  012.096: sourcing /home/sroeca/.config/nvim/pack/packager/start/papercolor-theme/colors/PaperColor.vim
1280.709  014.252  001.179: sourcing /usr/share/nvim/runtime/syntax/synload.vim
1280.743  014.369  000.116: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
1293.029  000.243  000.243: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
1293.060  000.012  000.012: sourcing /usr/share/nvim/runtime/plugin/health.vim
1293.186  000.113  000.113: sourcing /usr/share/nvim/runtime/plugin/man.vim
1294.334  000.283  000.283: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
1294.394  001.192  000.910: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
1294.604  000.196  000.196: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
1295.111  000.491  000.491: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
1296.155  000.189  000.189: sourcing /usr/share/nvim/runtime/autoload/remote/host.vim
1297.029  000.179  000.179: sourcing /usr/share/nvim/runtime/autoload/remote/define.vim
1297.700  002.407  002.039: sourcing /home/sroeca/.local/share/nvim/rplugin.vim
1297.708  002.568  000.160: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
1297.870  000.136  000.136: sourcing /usr/share/nvim/runtime/plugin/shada.vim
1297.930  000.036  000.036: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
1298.150  000.199  000.199: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
1298.292  000.109  000.109: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
1298.337  000.023  000.023: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
